gene	logFC	logCPM	LR	PValue	FDR
SURF2	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
MSRB2	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
CSTF2T	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
FNBP4	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
NDUFV1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
BIRC3	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
ATF7IP	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
ARHGAP9	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
FAM177A1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
CCL4	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
LUC7L3	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
STX10	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
CLPTM1	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
ZNF83	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
ACO2	-2.80983504234835	9.45699921300348	3.64677882107796	0.0561777631718434	1
PCSK7	3.33395513248368	9.66122736587728	3.61836705260241	0.0571449368378773	1
CD3E	-2.87939975076744	9.5337691142892	3.59355582981354	0.0580040059200994	1
CASP4	3.29928227884239	9.65514882602394	3.56829759469242	0.0588926588330166	1
ERP29	3.26446820200454	9.66990596430634	3.54334768339152	0.0597846838191127	1
FGFBP2	-2.84708944722002	9.52941788138593	3.53489684007792	0.0600900720393221	1
C4orf27	-2.84708944722002	9.52941788138593	3.53489684007792	0.0600900720393221	1
IL2RG	-2.84708944722002	9.52941788138593	3.53489684007792	0.0600900720393221	1
CST7	-2.84708944722002	9.52941788138593	3.53489684007792	0.0600900720393221	1
TMEM258	3.20627200578045	9.67080613556399	3.45743926539112	0.0629677612866571	1
LINC00936	-2.05112350386833	9.99900618484416	3.3867640865241	0.0657218135810645	1
RAC2	-1.97628795666724	10.0547728305589	3.35759538689489	0.0668956819445756	1
NR4A2	3.13823712529433	9.66201781465993	3.35186553196464	0.0671288959831327	1
CNIH4	-2.54814723488316	9.75299455084152	3.3276299086898	0.0681249786618483	1
RPS24	1.00606914240917	12.2328139298181	3.28908071473776	0.0697420593694675	1
RPS4Y1	3.09668331932117	9.66291710357123	3.28379169642638	0.0699671110277341	1
HSD17B11	3.21631684814107	9.6542420377889	3.28062196603189	0.0701023579359473	1
GPSM3	-1.9456316414542	10.0577334852162	3.27738748753824	0.0702406561501328	1
EIF3H	-2.5628773906743	9.68329286356809	3.22001677030191	0.0727428847517159	1
ATP6AP2	3.05823292653861	9.66381655833772	3.21427640755722	0.0729984605685294	1
VMO1	-2.05958298860249	10.0123825067791	3.12569447204181	0.0770670278096478	1
LMAN2	3.06764381124903	9.59980925510848	3.08696212129158	0.0789220234478102	1
EPC1	3.03562452691208	9.59098075484057	3.07708159133325	0.0794028857962266	1
HNRNPDL	3.03502809667152	9.74270724987016	3.06718243239407	0.0798878216655581	1
PRELID1	-1.41093278891502	10.679808478872	3.04416923930949	0.0810275634333713	1
RAC1	-2.5229302603941	9.76240220128317	3.0429327100198	0.0810892975873298	1
UQCRH	2.19114766302792	10.0648716869158	3.04060811181972	0.0812054913307584	1
LEPROT	-2.07113147134838	9.54248239651778	3.00862077134819	0.0828227359491858	1
PSMD4	-2.07113147134838	9.54248239651778	3.00862077134819	0.0828227359491858	1
OSTF1	-2.07113147134838	9.54248239651778	3.00862077134819	0.0828227359491858	1
APOBEC3A	-2.07113147134838	9.54248239651778	3.00862077134819	0.0828227359491858	1
ANXA1	-1.64535387099615	10.3690299221312	3.00559318279281	0.0829775989181288	1
TMSB10	0.891176138112238	12.7743070764217	2.99395363721866	0.0835758873032116	1
ENSA	2.9602018250215	9.68118878728376	2.95674024090331	0.085520194069311	1
DDX3X	2.95409869162773	9.59889352111244	2.94620329945431	0.0860795682025815	1
C6orf48	2.95398745922478	9.60604980081898	2.94570153638768	0.0861063038346294	1
DYNLL1	-2.50044361013733	9.76240220128317	2.91439636397187	0.0877922577199441	1
ATP5O	-2.5029019551963	9.61940095582094	2.89781842872106	0.0886995224177269	1
POLE4	2.90207389231494	9.59980925510848	2.87926700056878	0.089726857529195	1
UBE2R2	2.90207389231494	9.59980925510848	2.87926700056878	0.089726857529195	1
CELF1	2.90434195060448	9.58911521470411	2.86068936986699	0.090768590637143	1
PRPF38B	2.88641133127249	9.60696636940996	2.8399562364196	0.0919467181004297	1
C16orf54	2.93051372124137	9.58383357239661	2.83454844250922	0.0922567311493194	1
APOBEC3C	2.93051372124137	9.58383357239661	2.83454844250922	0.0922567311493194	1
KRTCAP2	2.86247909229015	9.5900294484723	2.81969084069093	0.0931143366085881	1
GPX4	2.15533056171894	10.0247509010949	2.78780278848575	0.0949843831424894	1
RARRES3	2.84928253895241	9.60075781123281	2.78756605654888	0.094998417971717	1
C1orf86	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
TNFRSF8	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
HNRNPR	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
LYPLA2	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
C1orf63	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
DNAJC8	-2.1520915811848	9.37580971892254	2.77981335931847	0.0954592922922571	1
